"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"306","County","Lewis","WA","Centralia","Lewis",NA,-1.07290233837689
"307","County","Llano","TX",NA,"Llano",NA,4.08278867102396
"308","County","Logan","CO","Sterling","Logan",NA,12.6484560570071
"309","County","Logan","IL","Lincoln","Logan",NA,2.29469790382244
"310","County","Logan","OH","Bellefontaine","Logan",NA,-1.41399176954733
"311","County","Logan","OK","Oklahoma City","Logan",NA,1.24098798397865
"312","County","Lucas","OH","Toledo","Lucas",NA,5.76414087513339
"313","County","Macon","IL","Decatur","Macon",NA,-6.81266149870801
"314","County","Macon","MO",NA,"Macon",NA,0.491964285714275
"315","County","Macon","NC",NA,"Macon",NA,1.43808962264151
"316","County","Macon","TN","Nashville","Macon",NA,1.68846153846154
"317","County","Marin","CA","San Francisco","Marin",NA,6.59226932668329
"318","County","Mason","MI","Ludington","Mason",NA,5.79479768786126
"319","County","Mason","WA","Shelton","Mason",NA,-4.19291338582677
"320","County","Maury","TN","Nashville","Maury",NA,8.05866666666666
"321","County","Mayes","OK",NA,"Mayes",NA,0.598122065727691
"322","County","Meade","KS",NA,"Meade",NA,3.22740963855421
"323","County","Miami","IN","Peru","Miami",NA,1.26092715231787
"324","County","Miami","KS","Kansas City","Miami",NA,6.92086720867209
"325","County","Miami","OH","Dayton","Miami",NA,5.20437405731524
"326","County","Milam","TX",NA,"Milam",NA,6.77725118483412
"327","County","Moore","NC","Pinehurst-Southern Pines","Moore",NA,0.835218888342348
"328","County","Moore","TX","Dumas","Moore",NA,2.21762114537445
"329","County","Mower","MN","Austin","Mower",NA,2.5067778936392
"330","County","Noble","IN","Kendallville","Noble",NA,6.48263579697239
"331","County","Nolan","TX","Sweetwater","Nolan",NA,5.77428998505232
"332","County","Obion","TN","Union City","Obion",NA,-0.969086021505372
"333","County","Ocean","NJ","New York","Ocean",NA,6.11535635562086
"334","County","Osage","KS","Topeka","Osage",NA,5.48628691983122
"335","County","Osage","MO","Jefferson City","Osage",NA,5.63445645263827
"336","County","Otero","CO",NA,"Otero",NA,8.25761421319797
"337","County","Parke","IN",NA,"Parke",NA,-1.11510791366907
"338","County","Pasco","FL","Tampa","Pasco",NA,6.85590778097982
"339","County","Payne","OK","Stillwater","Payne",NA,-0.630303030303025
"340","County","Peach","GA","Warner Robins","Peach",NA,4.25302175664786
"341","County","Pecos","TX",NA,"Pecos",NA,12.3793103448276
"342","County","Perry","IN",NA,"Perry",NA,1.03156822810591
"343","County","Perry","MO",NA,"Perry",NA,3.21607278241092
"344","County","Perry","MS","Hattiesburg","Perry",NA,-1.44631185807657
"345","County","Perry","PA","Harrisburg","Perry",NA,4.35282651072124
"346","County","Pinal","AZ","Phoenix","Pinal",NA,6.60739614994934
"347","County","Posey","IN","Evansville","Posey",NA,3.40170333569907
"348","County","Power","ID",NA,"Power",NA,8.3818293431553
"349","County","Pratt","KS",NA,"Pratt",NA,4.57650273224044
"350","County","Rabun","GA",NA,"Rabun",NA,6.5840652446675
"351","County","Rains","TX",NA,"Rains",NA,3.56567425569176
"352","County","Ralls","MO","Hannibal","Ralls",NA,5.38087248322148
"353","County","Roane","TN","Knoxville","Roane",NA,2.42912772585671
"354","County","Rooks","KS",NA,"Rooks",NA,4.06821963394344
"355","County","Routt","CO","Steamboat Springs","Routt",NA,8.54929895974672
"356","County","Rowan","NC","Charlotte","Rowan",NA,5.59890109890109
"357","County","Salem","NJ","Philadelphia","Salem",NA,10.6499007279947
"358","County","Salem City","VA","Roanoke","Salem City",NA,5.44466403162056
"359","County","Sarpy","NE","Omaha","Sarpy",NA,3.12642487046633
"360","County","Scott","IA","Davenport","Scott",NA,0.380602006688968
"361","County","Scott","IN","Louisville/Jefferson County","Scott",NA,3.05974842767296
"362","County","Scott","KS",NA,"Scott",NA,8.36324786324787
"363","County","Scott","KY","Lexington","Scott",NA,1.39330773450357
"364","County","Scott","MN","Minneapolis-St Paul","Scott",NA,5.5699928212491
"365","County","Scott","MS",NA,"Scott",NA,1.80787401574802
"366","County","Sitka","AK",NA,"Sitka",NA,-1.23778983719783
"367","County","Smith","KS",NA,"Smith",NA,-6.62900188323917
"368","County","Smith","TN","Nashville","Smith",NA,5.57097288676236
"369","County","Smith","TX","Tyler","Smith",NA,1.19041278295606
"370","County","Smyth","VA",NA,"Smyth",NA,3.904
"371","County","Stark","ND","Dickinson","Stark",NA,-1.83791790097334
"372","County","Stark","OH","Canton","Stark",NA,4.49039264828739
"373","County","Starr","TX","Rio Grande City","Starr",NA,3.71584699453551
"374","County","Stone","MO","Branson","Stone",NA,-1.63968668407311
"375","County","Stone","MS",NA,"Stone",NA,-2.22182786157942
"376","County","Story","IA","Ames","Story",NA,1.9559420289855
"377","County","Surry","NC","Mount Airy","Surry",NA,2.67164179104478
"378","County","Taney","MO","Branson","Taney",NA,-2.08852213053263
"379","County","Teton","ID","Jackson","Teton",NA,0.39473684210527
"380","County","Teton","MT",NA,"Teton",NA,2.11007957559681
"381","County","Teton","WY","Jackson","Teton",NA,3.12286643186128
"382","County","Tioga","NY","Binghamton","Tioga",NA,1.56351236146632
"383","County","Tioga","PA",NA,"Tioga",NA,1.2151690024732
"384","County","Titus","TX","Mount Pleasant","Titus",NA,2.38224956063269
"385","County","Toole","MT",NA,"Toole",NA,4.72440944881889
"386","County","Troup","GA","LaGrange","Troup",NA,8.01946721311475
"387","County","Tulsa","OK","Tulsa","Tulsa",NA,3.12581344902385
"388","County","Tyler","TX",NA,"Tyler",NA,4.4059609455293
"389","County","Uinta","WY","Evanston","Uinta",NA,-0.0370548604427312
"390","County","Union","GA",NA,"Union",NA,5.60970231532525
"391","County","Union","IN","Cincinnati","Union",NA,10.8981818181818
"392","County","Union","LA","Monroe","Union",NA,-3.01662049861496
"393","County","Union","MS",NA,"Union",NA,-0.689897698209718
"394","County","Union","NC","Charlotte","Union",NA,2.7744874715262
"395","County","Union","NJ","New York","Union",NA,7.1227553723874
"396","County","Union","NM",NA,"Union",NA,-3.2701252236136
"397","County","Union","OH","Columbus","Union",NA,5.98079838302172
"398","County","Union","OR","La Grande","Union",NA,0.00230414746544838
"399","County","Union","TN","Knoxville","Union",NA,7.96240601503759
"400","County","Upson","GA","Thomaston","Upson",NA,2.42627737226278
"401","County","Vance","NC","Henderson","Vance",NA,4.48648648648649
"402","County","Vilas","WI",NA,"Vilas",NA,4.48633879781422
"403","County","Walsh","ND",NA,"Walsh",NA,-1.47246022031824
"404","County","Wasco","OR","The Dalles","Wasco",NA,3.70666078517865
"405","County","Wayne","IN","Richmond","Wayne",NA,-1.61845102505694
"406","County","Wayne","MI","Detroit","Wayne",NA,-2.8392101551481
"407","County","Wayne","MS",NA,"Wayne",NA,2.40609137055838
"408","County","Wayne","NC","Goldsboro","Wayne",NA,5.85319949811793
"409","County","Wayne","NY","Rochester","Wayne",NA,4.12427983539094
"410","County","Wayne","OH","Wooster","Wayne",NA,4.41708906589429
"411","County","Wayne","PA",NA,"Wayne",NA,-0.182377049180327
"412","County","Weber","UT","Ogden","Weber",NA,2.48373644703921
"413","County","Wells","IN","Fort Wayne","Wells",NA,6.39041095890411
"414","County","White","AR","Searcy","White",NA,-1.56295620437956
"415","County","White","GA",NA,"White",NA,5.51999999999999
"416","County","White","IN",NA,"White",NA,6.87934362934364
"417","County","White","TN",NA,"White",NA,3.0864553314121
"418","County","Wythe","VA",NA,"Wythe",NA,3.90567612687813
"419","County","Yates","NY","Rochester","Yates",NA,2.71578212290502
"420","County","Young","TX",NA,"Young",NA,6.39672131147542
"421","County","Acadia","LA","Lafayette","Acadia",NA,2.83577052868391
"422","County","Albany","NY","Albany","Albany",NA,3.18997361477573
