Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-04-01 00:00:00,50320,"Des Moines, IA",,217950.000000,0.0252,0.0843,39.0,-0.0602,-0.4583,58.00,-0.5304,-0.1077,20.0,0.0000,-0.5833,0.0,-1.0000,,16.0,1.6667,-0.3333,59.0,0.0261,-0.1918,217001.0000,0.0418,0.1399,98.0,-0.0101,-0.3241,1.5128,0.1273,0.4989
2018-04-01 00:00:00,50321,"Des Moines, IA",,292050.000000,0.1155,-0.0231,19.0,0.1875,0.0556,49.00,0.2895,-0.0200,16.0,1.6667,0.3333,0.0,,,4.0,-0.5000,0.0000,14.0,1.1538,0.0000,343331.0000,-0.0607,-0.0409,33.0,0.4667,0.0313,0.7368,0.3306,-0.0409
2018-04-01 00:00:00,50322,"Urbandale, IA",*,220050.000000,0.0476,0.2578,53.0,0.0291,0.1778,43.50,0.1299,,36.0,-0.0526,0.0000,0.0,,,24.0,1.0000,0.5000,92.0,0.1720,0.1795,203356.0000,-0.0083,0.1081,145.0,0.1154,0.1789,1.7358,0.2116,0.0025
2018-04-01 00:00:00,50323,"Urbandale, IA",,394950.000000,-0.0005,-0.0706,177.0,0.0291,0.1346,80.00,-0.0184,-0.0909,44.0,-0.0833,-0.1538,4.0,0.0000,,36.0,0.1250,0.1250,98.0,0.4203,0.4412,435826.0000,-0.0013,-0.0557,275.0,0.1411,0.2277,0.5537,0.1525,0.1178
2018-04-01 00:00:00,50325,"Clive, IA",*,410250.000000,0.0263,0.0186,97.0,0.0430,0.1975,82.50,-0.2949,,24.0,-0.3684,-0.3333,0.0,,,36.0,0.1250,0.8000,57.0,0.2667,-0.1618,433744.0000,0.0519,0.0524,154.0,0.1159,0.0336,0.5876,0.1038,-0.2519
2018-04-01 00:00:00,50327,"Pleasant Hill, IA",,258950.000000,-0.0232,0.0019,36.0,0.0141,-0.3571,74.00,-0.2745,0.4369,20.0,1.5000,-0.1667,0.0,,,8.0,0.3333,-0.3333,30.0,0.0000,-0.2105,270274.0000,-0.0502,-0.0327,66.0,0.0076,-0.2979,0.8333,-0.0117,0.1548
2018-04-01 00:00:00,50401,"Mason City, IA",,121050.000000,-0.0306,0.0391,232.0,0.0969,-0.1245,77.00,-0.2376,-0.2300,44.0,-0.2903,-0.2667,0.0,,,20.0,0.4286,-0.1667,21.0,-0.0233,0.0500,160695.0000,-0.0016,-0.0154,253.0,0.0858,-0.1123,0.0905,-0.0111,0.0150
2018-04-01 00:00:00,50423,"Britt, IA",,87350.000000,-0.0289,-0.0300,26.0,0.1304,0.0400,138.00,-0.3065,-0.0738,4.0,1.0000,0.0000,0.0,,,0.0,-1.0000,-1.0000,2.0,0.0000,,120331.0000,-0.0777,-0.0927,28.0,0.1200,0.1200,0.0769,-0.0100,0.0769
2018-04-01 00:00:00,50428,"Clear Lake, IA",,295050.000000,0.0585,0.0938,93.0,0.0054,-0.0882,89.00,-0.1872,0.0230,16.0,0.6000,-0.2000,0.0,,,12.0,1.0000,0.0000,5.0,-0.0909,4.0000,417910.0000,0.0683,0.2684,98.0,0.0000,-0.0485,0.0538,-0.0057,0.0440
2018-04-01 00:00:00,50436,"Forest City, IA",*,132300.000000,0.0417,0.1020,20.0,-0.0909,,74.00,-0.3702,-0.6509,4.0,0.0000,0.0000,0.0,,,0.0,-1.0000,,3.0,1.0000,,144419.0000,0.0265,0.0912,23.0,-0.0213,-0.3611,0.1500,0.0818,0.1500
2018-04-01 00:00:00,50441,"Hampton, IA",*,114500.000000,0.1351,0.4321,23.0,-0.0800,,201.50,-0.0171,0.6862,4.0,0.0000,-0.5000,0.0,,,4.0,,,6.0,0.0000,,120098.0000,0.0486,0.3619,29.0,-0.0645,0.6111,0.2609,0.0209,0.2609
2018-04-01 00:00:00,50461,"Osage, IA",*,124675.000000,-0.0078,-0.1060,38.0,-0.0130,,116.00,-0.1874,-0.2773,4.0,0.0000,-0.5000,0.0,,,0.0,-1.0000,-1.0000,3.0,,,139674.0000,-0.0373,-0.1363,41.0,0.0649,0.0000,0.0789,0.0789,0.0789
